Effective Date,,ABC Intl Hldg,ABN AMRO,AIB,ALLIANCE BERNSTE,AmInvestment,Amundi AM,ANZ Bank,Bank NZ,Bank of China,Bank Permata,Barclays,BayernLB,BBVA,Berenberg,Bidv Securities,Bkhaus Lampe,BMO,BNP Paribas,BOC China,BOCIL,BofAML,BOQ,Brown Brothers,CA CIB,CaixaBank,Capital Econ,Capital Secs,Capitalstars,CBA Ltd,CDBS,CEBM,Centrum Capital,CGB,Changjiang Secs,Chengtong Securi,China Securities,ChinaMrchntBank,ChinaReform Sec,CIBC,CINDA SECURITIES,CITIC Secs Intl,CITIC Securities,Citigroup,CN MERCHANT,Commerzbank UK,Continuum Econ,Contributors,Credit Suisse,D n B,Daiwa Cap Mkts,Danske Bk,DBFI,DBS Bank,DekaBank,Desjardins Group,Deutsche Bank,DZ Bank,EBSCN,Edelweiss,Emirates NBD,Eurobank Hldgs,Federal Bank,Founder Fincg,Founder Secs,Generali Investments,Goldman Sachs,Handelsbanken,HC Securities,HDFC Bank,Helaba,Hiltop,HSBC Hldg,HT Securities,HTSC,Hwabao Trust,ICICI Bank,IG Markets,IHS Global,India Forex,Industrial Sec,Industril Bank,Informa Global,ING Fin Mkts,Intesa Sanpaolo,Inventure,Investec,J. Safra Sarasin,JP Morgan,Julius Baer,Jyske Bank,Kasikornbank,KBC Economics,Krung Thai Bank,LBBW,Lianxun Secs,Lloyds Bank UK,Macquarie Group,Maplecroft.Net,Maybank Inv Bnk,Minsheng Sec,Mizuho Bank Ltd,Mizuho Secs,Monex Europe,Moody's Analytics,Morgan Stanley,MUFG,NAB,Natixis,Natl Bk Canada,NatWest Markets,Nomura,NORD Landbk,Nordea,Northern Trust,Nykredit Markets,OCBC,Pantheon,Piramal,PNC Finl Svc,Postbank,Punjab Natl Bank,Rabobank,Raiffeisen Intl,RBC,RBL Bank,Refinitiv - IFR Markets,Renaissance,RGE,RMB,Samsung Futures,Saxo Bank,Schroders,Scotiabank,SCS,Shanghai Secs,Shinhan Bank,Siam Comm Bank,Sinolink Secs,Skand Ensk Bank,Societe Generale,St George Bank,Standard Bk,Standard Chartered,Swedbank AB,SWSC,TC Bank,TD,TD Securities (USA) LLC,TMB Bank,UBS,UCO Bank,Uni Credit,Union Bank PH,UOB,Vadilal Forex,VTB-Capital,Wells Fargo,Westpac,Yingda Secs,ZHESHANG SECS,ZKB
2022/10/31,1,#N/A,0.2715,0.2015,#N/A,#N/A,#N/A,0.2015,#N/A,#N/A,#N/A,#N/A,#N/A,0.1715,#N/A,#N/A,#N/A,0.3815,#N/A,#N/A,#N/A,0.1315,#N/A,#N/A,#N/A,#N/A,0.2015,#N/A,#N/A,0.5015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2515,#N/A,0.1315,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1215,#N/A,0.1515,0.1715,0.1515,#N/A,#N/A,0.1315,#N/A,#N/A,#N/A,#N/A,#N/A,0.1515,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1515,#N/A,#N/A,#N/A,#N/A,#N/A,0.3015,#N/A,#N/A,#N/A,#N/A,#N/A,0.2415,0.1615,#N/A,#N/A,#N/A,0.2015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2015,0.1015,#N/A,0.1215,0.1515,0.2415,0.1215,#N/A,#N/A,#N/A,#N/A,0.1915,#N/A,#N/A,0.1515,#N/A,#N/A,#N/A,#N/A,#N/A,0.1015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3015,#N/A,#N/A,#N/A,0.2615,#N/A,#N/A,#N/A,#N/A,0.2015,#N/A,#N/A,#N/A,0.0715,#N/A,#N/A,#N/A,0.2015,#N/A,0.1315,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1015
2022/9/30,2,#N/A,0.2635,#N/A,#N/A,#N/A,#N/A,0.1935,#N/A,#N/A,#N/A,0.2135,#N/A,#N/A,0.2035,#N/A,#N/A,0.3435,#N/A,#N/A,#N/A,0.3135,#N/A,#N/A,#N/A,#N/A,0.2135,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1435,#N/A,0.4135,0.1635,#N/A,#N/A,0.4135,0.1135,0.2235,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2635,#N/A,0.2135,0.1935,0.2135,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3935,#N/A,0.2135,0.3135,#N/A,#N/A,#N/A,#N/A,0.1635,0.1635,#N/A,#N/A,#N/A,#N/A,0.1435,0.3135,0.0635,#N/A,#N/A,#N/A,#N/A,0.3635,0.1935,0.5335,#N/A,#N/A,0.2135,0.2135,#N/A,#N/A,#N/A,#N/A,0.1135,#N/A,#N/A,#N/A,0.2135,#N/A,0.2635,0.1135,0.1935,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2335,#N/A,#N/A,0.2135,#N/A,0.2135,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.3135,#N/A,#N/A,#N/A,#N/A,0.2135,#N/A,#N/A,0.3635,0.2135,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1535,#N/A,#N/A,0.2635,#N/A,#N/A,#N/A,0.2135
2022/8/31,3,#N/A,#N/A,0.139,#N/A,#N/A,#N/A,0.149,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.159,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.109,#N/A,#N/A,#N/A,#N/A,0.089,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.129,#N/A,#N/A,0.089,#N/A,#N/A,0.169,0.189,0.169,#N/A,#N/A,#N/A,#N/A,#N/A,0.089,#N/A,0.089,#N/A,#N/A,#N/A,0.139,#N/A,#N/A,0.119,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.279,#N/A,#N/A,0.189,#N/A,#N/A,#N/A,#N/A,0.109,#N/A,#N/A,#N/A,#N/A,#N/A,0.069,0.089,#N/A,#N/A,#N/A,#N/A,#N/A,0.139,0.139,0.249,#N/A,#N/A,0.189,0.119,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.089,0.099,#N/A,0.089,0.189,0.089,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.149,#N/A,#N/A,0.189,#N/A,#N/A,0.239,#N/A,0.089,#N/A,#N/A,#N/A,#N/A,0.229,#N/A,#N/A,#N/A,#N/A,#N/A,0.189,#N/A,#N/A,#N/A,0.219,#N/A,#N/A,#N/A,#N/A,0.139,#N/A,#N/A,#N/A,0.139,#N/A,#N/A,#N/A,0.189,#N/A,0.119,#N/A,#N/A,0.139,0.239,#N/A,0.239,0.089
2022/7/29,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0733,#N/A,#N/A,#N/A,#N/A,#N/A,0.0433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0133,#N/A,#N/A,#N/A,#N/A,-0.0067,#N/A,#N/A,0.0433,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0567,#N/A,#N/A,0.0533,0.0933,0.0333,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0567,#N/A,-0.0067,#N/A,#N/A,#N/A,0.0433,#N/A,#N/A,0.0233,#N/A,#N/A,#N/A,#N/A,#N/A,0.0233,0.1333,#N/A,#N/A,0.0433,#N/A,#N/A,#N/A,#N/A,-0.0067,-0.0067,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1567,#N/A,#N/A,#N/A,#N/A,#N/A,0.0433,#N/A,#N/A,#N/A,#N/A,0.0033,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0433,0.0433,#N/A,-0.0067,0.0633,-0.0167,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0933,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1333,#N/A,#N/A,#N/A,#N/A,#N/A,0.0433,#N/A,#N/A,#N/A,0.0833,#N/A,#N/A,#N/A,#N/A,-0.0067,#N/A,#N/A,#N/A,0.0233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1033,#N/A,-0.0067,-0.0567
2022/6/30,5,#N/A,#N/A,0.0481,#N/A,#N/A,#N/A,-0.0019,#N/A,#N/A,#N/A,-0.2019,#N/A,0.0381,#N/A,#N/A,#N/A,0.0881,#N/A,#N/A,#N/A,0.0981,#N/A,#N/A,#N/A,#N/A,-0.1119,#N/A,#N/A,0.2981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0019,#N/A,#N/A,#N/A,#N/A,#N/A,-0.2019,#N/A,#N/A,-0.0019,#N/A,#N/A,#N/A,#N/A,-0.1019,#N/A,0.0481,#N/A,-0.0019,#N/A,-0.1019,#N/A,#N/A,0.0481,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0019,0.0981,#N/A,#N/A,#N/A,#N/A,-0.1019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0219,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1519,#N/A,#N/A,#N/A,#N/A,0.0481,-0.2419,#N/A,#N/A,#N/A,#N/A,-0.1519,#N/A,#N/A,#N/A,-0.0019,#N/A,#N/A,#N/A,-0.0519,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0381,#N/A,#N/A,#N/A,#N/A,#N/A,0.0481,#N/A,0.0481,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0019,-0.0519,0.0481,#N/A,#N/A,#N/A,0.0181,0.1981,#N/A,#N/A,-0.0019,#N/A,#N/A,#N/A,#N/A,0.0281,#N/A,#N/A,#N/A,0.0281,#N/A,-0.0519,#N/A,#N/A,0.0181,0.0481,#N/A,#N/A,-0.0019
2022/5/31,6,#N/A,0.1015,#N/A,#N/A,#N/A,#N/A,-0.0085,#N/A,#N/A,#N/A,#N/A,#N/A,0.0715,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0515,#N/A,#N/A,#N/A,#N/A,-0.0285,#N/A,#N/A,0.2715,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.2115,-0.0285,0.0615,#N/A,#N/A,#N/A,#N/A,#N/A,0.3115,#N/A,0.1315,#N/A,-0.0285,#N/A,0.1715,#N/A,#N/A,0.2015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1415,#N/A,0.0715,0.0715,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0785,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0015,#N/A,0.1015,#N/A,#N/A,-0.0285,0.1215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0715,-0.0285,0.1515,0.1915,#N/A,0.1615,#N/A,-0.0785,0.1115,-0.0085,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0215,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1715,#N/A,#N/A,#N/A,0.2315,0.1515,#N/A,#N/A,#N/A,0.0715,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0915,#N/A,#N/A,0.0715,0.0815,#N/A,#N/A,0.0215
2022/4/29,7,#N/A,0.258,#N/A,#N/A,#N/A,#N/A,0.278,#N/A,#N/A,#N/A,0.268,#N/A,#N/A,#N/A,#N/A,0.208,0.258,#N/A,#N/A,#N/A,0.248,#N/A,#N/A,#N/A,#N/A,0.188,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.288,#N/A,#N/A,#N/A,#N/A,#N/A,0.178,0.308,#N/A,#N/A,#N/A,#N/A,0.258,#N/A,0.218,#N/A,0.258,0.308,0.258,#N/A,#N/A,0.308,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.218,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.208,#N/A,#N/A,#N/A,#N/A,0.208,0.208,0.258,#N/A,#N/A,#N/A,#N/A,0.248,0.258,0.198,#N/A,#N/A,0.248,0.208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.228,0.228,0.138,0.278,0.228,0.238,#N/A,#N/A,#N/A,0.268,#N/A,0.238,#N/A,#N/A,0.258,#N/A,#N/A,#N/A,#N/A,#N/A,0.208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.258,#N/A,#N/A,#N/A,0.238,#N/A,#N/A,#N/A,#N/A,0.258,#N/A,#N/A,#N/A,0.228,#N/A,#N/A,#N/A,#N/A,#N/A,0.208,#N/A,#N/A,#N/A,0.278,#N/A,#N/A,0.258
2022/3/31,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0307,#N/A,#N/A,#N/A,-0.0107,#N/A,0.0293,#N/A,#N/A,#N/A,-0.0107,#N/A,#N/A,#N/A,0.0393,#N/A,#N/A,#N/A,#N/A,-0.0607,#N/A,#N/A,-0.0607,-0.0107,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0107,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0393,-0.2107,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0607,#N/A,-0.0307,#N/A,#N/A,-0.1107,0.0893,#N/A,#N/A,0.0393,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0607,#N/A,#N/A,#N/A,#N/A,0.0893,0.0393,#N/A,#N/A,#N/A,#N/A,-0.0307,0.0393,#N/A,#N/A,#N/A,#N/A,#N/A,0.0093,#N/A,-0.1307,#N/A,#N/A,-0.0107,-0.0207,#N/A,#N/A,#N/A,#N/A,-0.0107,#N/A,#N/A,-0.0107,0.0393,-0.1207,#N/A,-0.0107,-0.0307,#N/A,#N/A,-0.1607,#N/A,#N/A,#N/A,#N/A,#N/A,0.0393,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0607,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0393,0.0393,0.0393,#N/A,#N/A,#N/A,-0.0607,#N/A,#N/A,#N/A,#N/A,-0.0107,#N/A,#N/A,#N/A,-0.0107,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0607,#N/A,#N/A,0.0293,-0.0107,#N/A,#N/A,-0.0107
2022/2/28,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0616,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0516,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1816,#N/A,#N/A,-0.1016,-0.1316,-0.0916,#N/A,#N/A,-0.0916,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0216,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1416,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0916,#N/A,-0.0916,#N/A,-0.0416,#N/A,-0.0416,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.1016,#N/A,#N/A,-0.0916,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0416,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0916,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0516,#N/A,-0.0716,#N/A,#N/A,-0.0416,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0716,6.1484,-0.1016,-0.0716,-0.0616,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.3416,#N/A,-0.0416,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0516,#N/A,#N/A,#N/A,#N/A,-0.0916,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0816,#N/A,#N/A,-0.0216,-0.0416,#N/A,#N/A,-0.1416
2022/1/31,10,#N/A,#N/A,0.0105,#N/A,#N/A,#N/A,0.0005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0295,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0895,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0395,#N/A,0.0105,#N/A,#N/A,#N/A,0.0005,0.0105,-0.0695,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0395,#N/A,-0.0295,#N/A,#N/A,#N/A,0.0105,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0195,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0105,0.0105,#N/A,#N/A,#N/A,#N/A,-0.0295,-0.0395,-0.0195,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0295,#N/A,#N/A,0.0105,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0105,#N/A,-0.0795,#N/A,#N/A,#N/A,#N/A,-0.1395,#N/A,#N/A,#N/A,#N/A,#N/A,0.0105,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0105,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0095,#N/A,-0.0395,#N/A,#N/A,#N/A,-0.0195,#N/A,#N/A,#N/A,-0.1295,-0.0395,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.0195,#N/A,#N/A,#N/A,0.0005,#N/A,#N/A,-0.0395
